파일 이름,최종 편집 일시,최종 편집자,텍스트
https://docs.google.com/forms/d/e/1FAIpQLSf0lzGiR_oIwMk8V5J11a-k1Sp7WZ1IabFnVh9970w7HZOB1Q/viewform,2026년 7월 13일 오후 7:47,양유호,구글폼으로 원격 응시하는 신규생 레벨·성향 진단 (방문 전 사전 작성용)
https://drive.google.com/file/d/1pCR4boEeEPyWtVCe6mdzObinMloI0Ojk/view?usp=drive_link,2026년 7월 13일 오후 7:47,양유호,신규 학생이 등록 시 작성하는 기본 신청서 양식 (인적사항·희망 반·연락처)
https://drive.google.com/file/d/11r5VJJAjn1E8oZg7PGncaQ_wS4cnI4W8/view?usp=sharing,2026년 7월 13일 오후 7:47,양유호,학원 현장에서 보는 신규생 레벨·학습성향 진단지 (방문 시 작성)
등록서류 영구 보관함,2026년 7월 13일 오후 7:47,양유호,등록 완료 서류(신청서·계약서 스캔)를 영구 보관하는 잠금 공간
https://docs.google.com/spreadsheets/d/1Ze_8IHOzmtAV-PHt12cUfRn5_LwRZwt8pcWsnjQ19FY/edit?usp=drive_link,2026년 7월 13일 오후 7:51,양유호,리드크루(강사·직원)·크루(학생) 전원의 정보를 한곳에서 여는 진입점 —  DB 링크
